username;date;retweets;favorites;text;geo;location;mentions;hashtags;id;query;permalink
HTM_Reisinfo;2017-12-06 14:47;0;0;"Tram 19 rijdt met vertraging door een eerder voorval.";;Den Haag;;;"938389442955501568";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/938389442955501568
HTM_Reisinfo;2017-12-06 14:30;0;0;"Tram 19 rijdt weer de gebruikelijke route, maar houd nog rekening met vertraging";;Den Haag;;;"938385071484145666";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/938385071484145666
HTM_Reisinfo;2017-12-06 14:27;0;0;"Hoi Wesley, ik ga er van uit dat het tegen 16:00 wel is opgelost, er kan dan nog wel eventueel vertraging zijn. ^Said";;Den Haag;;;"938384448516755459";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/938384448516755459
HTM_Reisinfo;2017-12-05 22:39;0;0;"Tram 2 richting Kraayenstein rijdt met vertraging door een defecte tram bij het HMC Antoniushove.";;Den Haag;;;"938145916460072960";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/938145916460072960
HTM_Reisinfo;2017-12-05 18:29;0;0;"Tram 12 rijdt weer de gebruikelijke route, maar houd nog rekening met vertraging";;Den Haag;;;"938082925991596033";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/938082925991596033
HTM_Reisinfo;2017-12-05 17:54;1;0;"Tram 2 richting Kraayenstein rijdt met vertraging door een defecte tram bij HMC Antoniushove.";;Den Haag;;;"938074015725441029";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/938074015725441029
fnv_ret;2017-12-14 23:35;0;0;"Wethouder Langenberg biedt de gebruikers van het #openbaarvervoer zijn #excuses aan voor de #nieuwe #vertraging van de oplevering van de #HoekseLijn . Hij wil de reizigers #tegemoet komen met een #specialeregeling met #goedkoper reizen. http:// rtvr.nl/0CtQ";;Rotterdam, Nederland;;#openbaarvervoer #excuses #nieuwe #vertraging #HoekseLijn #tegemoet #specialeregeling #goedkoper;"941421435649740800";RET AND vertraging;https://twitter.com/fnv_ret/status/941421435649740800
TrampsLikeMe;2017-12-14 17:49;0;1;"You can run but you can not hide! Opzouten dus. Totaal ongeschikt. #hoekselijn #RET #vertraging";;The Netherlands;;#hoekselijn #RET #vertraging;"941334230646382593";RET AND vertraging;https://twitter.com/TrampsLikeMe/status/941334230646382593
RETRotterdam;2017-12-14 15:13;0;1;"Inderdaad RET is verantwoordelijk voor deze melding. Mogelijk wordt er bedoeld, dat er niet bekend is hoe lang de vertraging duurt. Ik heb je vraag intern uitgezet en kom hier later op terug.-Ruby";;Rotterdam;;;"941294955859009536";RET AND vertraging;https://twitter.com/RETRotterdam/status/941294955859009536
ForzaMaassluis;2017-12-14 13:46;0;0;"Forse vertraging Hoekse Lijn: reizigers en politici woedend https://www. ad.nl/rotterdam/fors e-vertraging-hoekse-lijn-reizigers-en-politici-woedend~a1182a36/ … ? Beetje laat die woede, controle. Open brief aan college weet u nog? En nu? gratis met de bus RET als vergoeding?";;Maassluis, Nederland;;;"941273064356106240";RET AND vertraging;https://twitter.com/ForzaMaassluis/status/941273064356106240
cynth_rutzen;2017-12-11 21:33;0;1;"HTM alle lof! In vergelijking met de RET en de NS vanochtend slechts 3 min vertraging opgelopen met de Randstad Rail en bus";;;;;"940303438549868545";RET AND vertraging;https://twitter.com/cynth_rutzen/status/940303438549868545
burgerpanel010;2017-12-11 18:47;0;0;"@RET en anderen: die #HoekseLijn , gaat dat nog lukken? Ook TKleden hebben kritiek op de vertraging . In dit weer hoeven we niet per sé naar het strand, maar veel burgers wachten met smart op goed woon-werk-vervoer.";;Rotterdam;@RET;#HoekseLijn;"940261742629785603";RET AND vertraging;https://twitter.com/burgerpanel010/status/940261742629785603
